DATE,remainder
1950-07-01,12.919928050105199
1950-07-02,9.919221217118036
1950-07-03,12.918514384130873
1950-07-04,14.91780755114371
1950-07-05,-9.082899281843453
1950-07-06,2.9163938851693842
1950-07-07,-7.084312947817779
1950-07-08,2.9149802191950585
1950-07-09,41.914273386207896
1950-07-10,22.913566553220733
1950-07-11,-9.08714027976643
1950-07-12,-21.087847112753593
1950-07-13,-10.088553945740756
1950-07-14,18.91073922127208
1950-07-15,-21.089967611715082
1950-07-16,19.909325555297755
1950-07-17,27.908618722310592
1950-07-18,18.90791188932343
1950-07-19,11.907205056336267
1950-07-20,24.906498223349104
1950-07-21,61.90579139036191
1950-07-22,66.90508455737475
1950-07-23,-3.0956222756124134
1950-07-24,-24.096329108599576
1950-07-25,-3.0970359415867392
1950-07-26,8.902257225426098
